Placering,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,Medel,Medelsnitt,Max,Maxsnitt,Min,Minsnitt
1,64,61,67,63,59,63,62,66,66,64,67,66,60,59,64,64,65,75,,,64.16666667,2.138888889,75,2.5,59,1.966666667
2,63,57,65,58,57,58,56,63,60,57,65,65,51,59,57,64,54,62,,,59.5,1.983333333,65,2.166666667,51,1.7
3,54,55,52,57,56,54,52,61,60,53,58,65,49,57,56,57,54,52,,,55.66666667,1.855555556,65,2.166666667,49,1.633333333
4,54,50,47,54,55,52,52,55,50,52,58,62,48,55,51,50,53,51,,,52.72222222,1.757407407,62,2.066666667,47,1.566666667
5,45,48,44,51,52,49,46,54,48,50,53,57,47,53,50,45,50,49,,,49.5,1.65,57,1.9,44,1.466666667
6,44,45,43,49,50,46,46,51,44,48,49,49,46,47,49,45,48,49,,,47.11111111,1.57037037,51,1.7,43,1.433333333
7,42,43,40,45,39,44,43,45,43,40,48,48,42,44,46,44,45,48,,,43.83333333,1.461111111,48,1.6,39,1.3
8,41,43,40,44,37,40,43,37,42,39,44,43,41,41,45,42,42,40,,,41.33333333,1.377777778,45,1.5,37,1.233333333
9,41,41,40,41,37,39,39,37,41,38,35,33,39,38,43,41,41,39,,,39.05555556,1.301851852,43,1.433333333,33,1.1
10,40,39,40,40,37,37,39,36,40,37,34,30,38,37,37,41,34,35,,,37.27777778,1.242592593,41,1.366666667,30,1
11,38,35,35,36,36,36,39,33,39,36,31,29,37,37,35,36,34,35,,,35.38888889,1.17962963,39,1.3,29,0.9666666667
12,36,34,35,36,34,34,36,32,35,32,30,25,34,36,34,36,33,31,,,33.5,1.116666667,36,1.2,25,0.8333333333
13,28,32,32,34,34,32,33,31,30,31,30,25,33,34,31,34,31,30,,,31.38888889,1.046296296,34,1.133333333,25,0.8333333333
14,24,29,29,28,29,31,32,25,29,30,26,23,28,32,31,33,31,29,,,28.83333333,0.9611111111,33,1.1,23,0.7666666667
15,22,25,29,25,24,28,29,21,27,24,24,20,26,18,17,26,30,26,,,24.5,0.8166666667,30,1,17,0.5666666667
16,20,22,25,14,12,14,12,15,10,20,15,20,24,14,14,15,23,16,,,16.94444444,0.5648148148,25,0.8333333333,10,0.3333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,S,,,,,,
